2024-04-08 10:01:10.523715 connection.mysql_connection [INFO] =================================================
2024-04-08 10:02:21.990844 connection.mysql_connection [INFO] dictionary mode: False
2024-04-08 10:02:21.991929 connection.mysql_connection [INFO] =================================================
2024-04-08 10:02:22.890719 root [DEBUG] 6.06E-1 kgCO₂e
2024-04-08 10:02:22.891862 root [DEBUG] ['6.06E-1', 'kgCO₂e']
2024-04-08 10:02:23.039172 root [DEBUG] 9.73E-2 kgCO₂e
2024-04-08 10:02:23.040408 root [DEBUG] ['9.73E-2', 'kgCO₂e']
2024-04-08 10:02:23.188970 root [DEBUG] 3.88E+0 kgCO₂e
2024-04-08 10:02:23.190958 root [DEBUG] ['3.88E+0', 'kgCO₂e']
2024-04-08 10:02:23.334210 root [DEBUG] 7.64E-1 kgCO₂e
2024-04-08 10:02:23.336445 root [DEBUG] ['7.64E-1', 'kgCO₂e']
2024-04-08 10:02:23.493058 root [DEBUG] 6.73E-1 kgCO₂e
2024-04-08 10:02:23.494183 root [DEBUG] ['6.73E-1', 'kgCO₂e']
2024-04-08 10:02:23.656859 root [DEBUG] 3.29E+0 kgCO₂e
2024-04-08 10:02:23.657721 root [DEBUG] ['3.29E+0', 'kgCO₂e']
2024-04-08 10:02:23.855923 root [DEBUG] 3.32E+0 kgCO₂e
2024-04-08 10:02:23.856832 root [DEBUG] ['3.32E+0', 'kgCO₂e']
2024-04-08 10:02:24.020216 root [DEBUG] 3.56E+0 kgCO₂e
2024-04-08 10:02:24.021275 root [DEBUG] ['3.56E+0', 'kgCO₂e']
2024-04-08 10:02:24.171569 root [DEBUG] 3.30E+0 kgCO₂e
2024-04-08 10:02:24.172344 root [DEBUG] ['3.30E+0', 'kgCO₂e']
2024-04-08 10:02:24.318044 root [DEBUG] 3.29E+0 kgCO₂e
2024-04-08 10:02:24.318856 root [DEBUG] ['3.29E+0', 'kgCO₂e']
2024-04-08 10:02:24.457471 root [DEBUG] 6.04E-1 kgCO₂e
2024-04-08 10:02:24.458324 root [DEBUG] ['6.04E-1', 'kgCO₂e']
2024-04-08 10:02:24.611784 root [DEBUG] 2.88E+0 kgCO₂e
2024-04-08 10:02:24.612582 root [DEBUG] ['2.88E+0', 'kgCO₂e']
2024-04-08 10:02:24.777162 root [DEBUG] 2.92E+0 kgCO₂e
2024-04-08 10:02:24.778216 root [DEBUG] ['2.92E+0', 'kgCO₂e']
2024-04-08 10:02:24.923243 root [DEBUG] 5.19E-1 kgCO₂e
2024-04-08 10:02:24.924733 root [DEBUG] ['5.19E-1', 'kgCO₂e']
2024-04-08 10:02:25.074495 root [DEBUG] 2.63E+0 kgCO₂e
2024-04-08 10:02:25.076986 root [DEBUG] ['2.63E+0', 'kgCO₂e']
2024-04-08 10:02:25.234076 root [DEBUG] 2.21E+0 kgCO₂e
2024-04-08 10:02:25.236182 root [DEBUG] ['2.21E+0', 'kgCO₂e']
2024-04-08 10:02:25.383710 root [DEBUG] 4.53E-1 kgCO₂e
2024-04-08 10:02:25.386227 root [DEBUG] ['4.53E-1', 'kgCO₂e']
2024-04-08 10:02:25.530843 root [DEBUG] 2.91E+0 kgCO₂e
2024-04-08 10:02:25.532989 root [DEBUG] ['2.91E+0', 'kgCO₂e']
2024-04-08 10:02:25.678108 root [DEBUG] 3.53E-1 kgCO₂e
2024-04-08 10:02:25.679724 root [DEBUG] ['3.53E-1', 'kgCO₂e']
2024-04-08 10:02:25.833785 root [DEBUG] 1.09E+0 kgCO₂e
2024-04-08 10:02:25.834769 root [DEBUG] ['1.09E+0', 'kgCO₂e']
2024-04-08 10:02:25.994012 root [DEBUG] 9.61E-3 kgCO₂e
2024-04-08 10:02:25.995277 root [DEBUG] ['9.61E-3', 'kgCO₂e']
2024-04-08 10:02:26.152155 root [DEBUG] 3.77E+2 kgCO₂e
2024-04-08 10:02:26.154398 root [DEBUG] ['3.77E+2', 'kgCO₂e']
2024-04-08 10:02:26.296348 root [DEBUG] 1.20E+1 kgCO₂e
2024-04-08 10:02:26.297496 root [DEBUG] ['1.20E+1', 'kgCO₂e']
2024-04-08 10:02:26.437846 root [DEBUG] 1.06E+0 kgCO₂e
2024-04-08 10:02:26.438914 root [DEBUG] ['1.06E+0', 'kgCO₂e']
2024-04-08 10:02:26.585590 root [DEBUG] 1.40E+0 kgCO₂e
2024-04-08 10:02:26.586733 root [DEBUG] ['1.40E+0', 'kgCO₂e']
2024-04-08 10:02:26.729547 root [DEBUG] 8.87E-1 kgCO₂e
2024-04-08 10:02:26.730409 root [DEBUG] ['8.87E-1', 'kgCO₂e']
2024-04-08 10:02:26.877998 root [DEBUG] 2.89E-1 kgCO₂e
2024-04-08 10:02:26.879718 root [DEBUG] ['2.89E-1', 'kgCO₂e']
2024-04-08 10:02:27.023844 root [DEBUG] 1.69E+0 kgCO₂e
2024-04-08 10:02:27.024795 root [DEBUG] ['1.69E+0', 'kgCO₂e']
2024-04-08 10:02:27.173156 root [DEBUG] 1.33E+0 kgCO₂e
2024-04-08 10:02:27.175566 root [DEBUG] ['1.33E+0', 'kgCO₂e']
2024-04-08 10:02:27.326163 root [DEBUG] 1.46E+0 kgCO₂e
2024-04-08 10:02:27.327445 root [DEBUG] ['1.46E+0', 'kgCO₂e']
2024-04-08 10:02:27.473741 root [DEBUG] 1.21E+0 kgCO₂e
2024-04-08 10:02:27.475120 root [DEBUG] ['1.21E+0', 'kgCO₂e']
2024-04-08 10:02:27.621048 root [DEBUG] 1.11E+0 kgCO₂e
2024-04-08 10:02:27.622671 root [DEBUG] ['1.11E+0', 'kgCO₂e']
2024-04-08 10:02:27.780968 root [DEBUG] 8.95E-1 kgCO₂e
2024-04-08 10:02:27.782369 root [DEBUG] ['8.95E-1', 'kgCO₂e']
2024-04-08 10:02:27.947815 root [DEBUG] 1.03E+0 kgCO₂e
2024-04-08 10:02:27.949311 root [DEBUG] ['1.03E+0', 'kgCO₂e']
2024-04-08 10:02:28.099739 root [DEBUG] 1.10E+0 kgCO₂e
2024-04-08 10:02:28.101039 root [DEBUG] ['1.10E+0', 'kgCO₂e']
2024-04-08 10:02:28.243090 root [DEBUG] 1.30E+0 kgCO₂e
2024-04-08 10:02:28.244988 root [DEBUG] ['1.30E+0', 'kgCO₂e']
2024-04-08 10:02:28.386213 root [DEBUG] 1.06E+0 kgCO₂e
2024-04-08 10:02:28.387802 root [DEBUG] ['1.06E+0', 'kgCO₂e']
2024-04-08 10:02:28.533897 root [DEBUG] 8.13E-1 kgCO₂e
2024-04-08 10:02:28.536298 root [DEBUG] ['8.13E-1', 'kgCO₂e']
2024-04-08 10:02:28.686937 root [DEBUG] 1.22E+0 kgCO₂e
2024-04-08 10:02:28.687947 root [DEBUG] ['1.22E+0', 'kgCO₂e']
2024-04-08 10:02:28.830481 root [DEBUG] 9.88E-1 kgCO₂e
2024-04-08 10:02:28.832715 root [DEBUG] ['9.88E-1', 'kgCO₂e']
2024-04-08 10:02:28.981028 root [DEBUG] 1.60E+0 kgCO₂e
2024-04-08 10:02:28.982894 root [DEBUG] ['1.60E+0', 'kgCO₂e']
2024-04-08 10:02:29.147271 root [DEBUG] 1.02E+0 kgCO₂e
2024-04-08 10:02:29.149711 root [DEBUG] ['1.02E+0', 'kgCO₂e']
2024-04-08 10:02:29.295449 root [DEBUG] 1.01E+0 kgCO₂e
2024-04-08 10:02:29.297693 root [DEBUG] ['1.01E+0', 'kgCO₂e']
2024-04-08 10:02:29.441241 root [DEBUG] 1.95E+0 kgCO₂e
2024-04-08 10:02:29.443471 root [DEBUG] ['1.95E+0', 'kgCO₂e']
2024-04-08 10:02:29.608761 root [DEBUG] 2.21E+0 kgCO₂e
2024-04-08 10:02:29.610550 root [DEBUG] ['2.21E+0', 'kgCO₂e']
2024-04-08 10:02:29.749270 root [DEBUG] 1.35E-2 kgCO₂e
2024-04-08 10:02:29.750315 root [DEBUG] ['1.35E-2', 'kgCO₂e']
2024-04-08 10:02:29.888806 root [DEBUG] 4.74E+0 kgCO₂e
2024-04-08 10:02:29.890013 root [DEBUG] ['4.74E+0', 'kgCO₂e']
2024-04-08 10:02:30.033344 root [DEBUG] 3.69E+0 kgCO₂e
2024-04-08 10:02:30.034693 root [DEBUG] ['3.69E+0', 'kgCO₂e']
2024-04-08 10:02:30.183037 root [DEBUG] 5.90E-1 kgCO₂e
2024-04-08 10:02:30.184452 root [DEBUG] ['5.90E-1', 'kgCO₂e']
2024-04-08 10:02:30.324134 root [DEBUG] 8.82E-2 kgCO₂e
2024-04-08 10:02:30.325628 root [DEBUG] ['8.82E-2', 'kgCO₂e']
2024-04-08 10:02:30.476184 root [DEBUG] 3.95E+0 kgCO₂e
2024-04-08 10:02:30.477000 root [DEBUG] ['3.95E+0', 'kgCO₂e']
2024-04-08 10:02:30.618977 root [DEBUG] 8.29E-1 kgCO₂e
2024-04-08 10:02:30.620744 root [DEBUG] ['8.29E-1', 'kgCO₂e']
2024-04-08 10:02:30.767699 root [DEBUG] 7.30E-1 kgCO₂e
2024-04-08 10:02:30.770020 root [DEBUG] ['7.30E-1', 'kgCO₂e']
2024-04-08 10:02:30.918429 root [DEBUG] 3.34E+0 kgCO₂e
2024-04-08 10:02:30.919629 root [DEBUG] ['3.34E+0', 'kgCO₂e']
2024-04-08 10:02:31.068706 root [DEBUG] 3.38E+0 kgCO₂e
2024-04-08 10:02:31.070027 root [DEBUG] ['3.38E+0', 'kgCO₂e']
2024-04-08 10:02:31.215386 root [DEBUG] 3.61E+0 kgCO₂e
2024-04-08 10:02:31.217397 root [DEBUG] ['3.61E+0', 'kgCO₂e']
2024-04-08 10:02:31.360723 root [DEBUG] 3.36E+0 kgCO₂e
2024-04-08 10:02:31.362595 root [DEBUG] ['3.36E+0', 'kgCO₂e']
2024-04-08 10:02:31.501271 root [DEBUG] 3.35E+0 kgCO₂e
2024-04-08 10:02:31.502947 root [DEBUG] ['3.35E+0', 'kgCO₂e']
2024-04-08 10:02:31.646264 root [DEBUG] 6.57E-1 kgCO₂e
2024-04-08 10:02:31.647583 root [DEBUG] ['6.57E-1', 'kgCO₂e']
2024-04-08 10:02:31.797455 root [DEBUG] 2.93E+0 kgCO₂e
2024-04-08 10:02:31.799654 root [DEBUG] ['2.93E+0', 'kgCO₂e']
2024-04-08 10:02:31.946927 root [DEBUG] 3.01E+0 kgCO₂e
2024-04-08 10:02:31.947958 root [DEBUG] ['3.01E+0', 'kgCO₂e']
2024-04-08 10:02:32.093984 root [DEBUG] 2.63E+0 kgCO₂e
2024-04-08 10:02:32.095813 root [DEBUG] ['2.63E+0', 'kgCO₂e']
2024-04-08 10:02:32.238048 root [DEBUG] 5.16E-1 kgCO₂e
2024-04-08 10:02:32.240857 root [DEBUG] ['5.16E-1', 'kgCO₂e']
2024-04-08 10:02:32.383681 root [DEBUG] 2.22E+0 kgCO₂e
2024-04-08 10:02:32.384549 root [DEBUG] ['2.22E+0', 'kgCO₂e']
2024-04-08 10:02:32.529485 root [DEBUG] 4.67E-1 kgCO₂e
2024-04-08 10:02:32.530199 root [DEBUG] ['4.67E-1', 'kgCO₂e']
2024-04-08 10:02:32.672595 root [DEBUG] 2.98E+0 kgCO₂e
2024-04-08 10:02:32.675284 root [DEBUG] ['2.98E+0', 'kgCO₂e']
2024-04-08 10:02:32.822201 root [DEBUG] 4.11E-1 kgCO₂e
2024-04-08 10:02:32.823477 root [DEBUG] ['4.11E-1', 'kgCO₂e']
2024-04-08 10:02:32.976933 root [DEBUG] 1.09E+0 kgCO₂e
2024-04-08 10:02:32.978740 root [DEBUG] ['1.09E+0', 'kgCO₂e']
2024-04-08 10:02:33.125309 root [DEBUG] 6.75E-1 kgCO₂e
2024-04-08 10:02:33.126430 root [DEBUG] ['6.75E-1', 'kgCO₂e']
2024-04-08 10:02:33.271573 root [DEBUG] 6.67E-1 kgCO₂e
2024-04-08 10:02:33.272779 root [DEBUG] ['6.67E-1', 'kgCO₂e']
2024-04-08 10:02:33.456456 root [DEBUG] 1.23E-1 kgCO₂e
2024-04-08 10:02:33.458148 root [DEBUG] ['1.23E-1', 'kgCO₂e']
2024-04-08 10:02:33.620975 root [DEBUG] 1.15E+0 kgCO₂e
2024-04-08 10:02:33.623257 root [DEBUG] ['1.15E+0', 'kgCO₂e']
2024-04-08 10:02:33.783855 root [DEBUG] 5.90E+0 kgCO₂e
2024-04-08 10:02:33.785541 root [DEBUG] ['5.90E+0', 'kgCO₂e']
2024-04-08 10:02:33.925352 root [DEBUG] 2.38E+4 kgCO₂e
2024-04-08 10:02:33.926970 root [DEBUG] ['2.38E+4', 'kgCO₂e']
2024-04-08 10:02:34.073131 root [DEBUG] 2.38E+4 kgCO₂e
2024-04-08 10:02:34.073817 root [DEBUG] ['2.38E+4', 'kgCO₂e']
2024-04-08 10:02:34.214815 root [DEBUG] 2.89E+1 kgCO₂e
2024-04-08 10:02:34.216589 root [DEBUG] ['2.89E+1', 'kgCO₂e']
2024-04-08 10:02:34.355515 root [DEBUG] 2.89E+1 kgCO₂e
2024-04-08 10:02:34.357190 root [DEBUG] ['2.89E+1', 'kgCO₂e']
2024-04-08 10:02:34.496685 root [DEBUG] 5.77E+1 kgCO₂e
2024-04-08 10:02:34.498824 root [DEBUG] ['5.77E+1', 'kgCO₂e']
2024-04-08 10:02:34.645982 root [DEBUG] 2.89E+1 kgCO₂e
2024-04-08 10:02:34.647270 root [DEBUG] ['2.89E+1', 'kgCO₂e']
2024-04-08 10:02:34.792826 root [DEBUG] 3.01E+2 kgCO₂e
2024-04-08 10:02:34.794691 root [DEBUG] ['3.01E+2', 'kgCO₂e']
2024-04-08 10:02:34.937278 root [DEBUG] 2.14E+2 kgCO₂e
2024-04-08 10:02:34.938261 root [DEBUG] ['2.14E+2', 'kgCO₂e']
2024-04-08 10:02:35.082540 root [DEBUG] 3.41E+2 kgCO₂e
2024-04-08 10:02:35.083468 root [DEBUG] ['3.41E+2', 'kgCO₂e']
2024-04-08 10:02:35.229062 root [DEBUG] 2.44E+2 kgCO₂e
2024-04-08 10:02:35.230303 root [DEBUG] ['2.44E+2', 'kgCO₂e']
2024-04-08 10:02:35.377267 root [DEBUG] 5.89E+1 kgCO₂e
2024-04-08 10:02:35.379713 root [DEBUG] ['5.89E+1', 'kgCO₂e']
2024-04-08 10:02:35.529745 root [DEBUG] 6.13E+1 kgCO₂e
2024-04-08 10:02:35.530840 root [DEBUG] ['6.13E+1', 'kgCO₂e']
2024-04-08 10:02:35.679041 root [DEBUG] 5.93E+1 kgCO₂e
2024-04-08 10:02:35.679902 root [DEBUG] ['5.93E+1', 'kgCO₂e']
2024-04-08 10:02:35.833403 root [DEBUG] 4.68E+1 kgCO₂e
2024-04-08 10:02:35.835342 root [DEBUG] ['4.68E+1', 'kgCO₂e']
2024-04-08 10:02:35.992558 root [DEBUG] 6.04E+2 kgCO₂e
2024-04-08 10:02:35.994542 root [DEBUG] ['6.04E+2', 'kgCO₂e']
2024-04-08 10:02:36.135280 root [DEBUG] 5.73E+2 kgCO₂e
2024-04-08 10:02:36.136056 root [DEBUG] ['5.73E+2', 'kgCO₂e']
2024-04-08 10:02:36.275471 root [DEBUG] 2.56E+1 kgCO₂e
2024-04-08 10:02:36.277840 root [DEBUG] ['2.56E+1', 'kgCO₂e']
2024-04-08 10:02:36.420503 root [DEBUG] 3.59E+2 kgCO₂e
2024-04-08 10:02:36.421356 root [DEBUG] ['3.59E+2', 'kgCO₂e']
2024-04-08 10:02:36.567365 root [DEBUG] 3.63E+2 kgCO₂e
2024-04-08 10:02:36.568400 root [DEBUG] ['3.63E+2', 'kgCO₂e']
2024-04-08 10:02:36.715587 root [DEBUG] 1.82E+1 kgCO₂e
2024-04-08 10:02:36.716330 root [DEBUG] ['1.82E+1', 'kgCO₂e']
2024-04-08 10:02:36.900802 root [DEBUG] 5.77E+0 kgCO₂e
2024-04-08 10:02:36.902468 root [DEBUG] ['5.77E+0', 'kgCO₂e']
2024-04-08 10:02:37.221059 root [DEBUG] 4.98E+0 kgCO₂e
2024-04-08 10:02:37.223315 root [DEBUG] ['4.98E+0', 'kgCO₂e']
2024-04-08 10:02:37.488406 root [DEBUG] 9.56E+0 kgCO₂e
2024-04-08 10:02:37.491077 root [DEBUG] ['9.56E+0', 'kgCO₂e']
2024-04-08 10:02:37.755801 root [DEBUG] 1.48E+1 kgCO₂e
2024-04-08 10:02:37.759113 root [DEBUG] ['1.48E+1', 'kgCO₂e']
2024-04-08 10:02:38.018009 root [DEBUG] 4.61E+0 kgCO₂e
2024-04-08 10:02:38.019325 root [DEBUG] ['4.61E+0', 'kgCO₂e']
2024-04-08 10:02:38.305185 root [DEBUG] 3.24E+1 kgCO₂e
2024-04-08 10:02:38.307343 root [DEBUG] ['3.24E+1', 'kgCO₂e']
2024-04-08 10:02:38.604195 root [DEBUG] 7.24E+2 kgCO₂e
2024-04-08 10:02:38.605877 root [DEBUG] ['7.24E+2', 'kgCO₂e']
2024-04-08 10:02:38.943952 root [DEBUG] 1.89E+2 kgCO₂e
2024-04-08 10:02:38.948136 root [DEBUG] ['1.89E+2', 'kgCO₂e']
2024-04-08 10:02:39.140949 root [DEBUG] 5.84E+2 kgCO₂e
2024-04-08 10:02:39.142314 root [DEBUG] ['5.84E+2', 'kgCO₂e']
2024-04-08 10:02:39.294695 root [DEBUG] 3.36E+2 kgCO₂e
2024-04-08 10:02:39.297086 root [DEBUG] ['3.36E+2', 'kgCO₂e']
2024-04-08 10:02:39.441608 root [DEBUG] 3.97E+0 kgCO₂e
2024-04-08 10:02:39.443440 root [DEBUG] ['3.97E+0', 'kgCO₂e']
2024-04-08 10:02:39.590401 root [DEBUG] 1.29E+0 kgCO₂e
2024-04-08 10:02:39.591968 root [DEBUG] ['1.29E+0', 'kgCO₂e']
2024-04-08 10:02:39.763888 root [DEBUG] 1.71E+1 kgCO₂e
2024-04-08 10:02:39.765094 root [DEBUG] ['1.71E+1', 'kgCO₂e']
2024-04-08 10:02:39.910693 root [DEBUG] 9.76E+0 kgCO₂e
2024-04-08 10:02:39.914031 root [DEBUG] ['9.76E+0', 'kgCO₂e']
2024-04-08 10:02:40.058237 root [DEBUG] 4.78E-3 kgCO₂e
2024-04-08 10:02:40.060684 root [DEBUG] ['4.78E-3', 'kgCO₂e']
2024-04-08 10:02:40.202035 root [DEBUG] 4.47E+2 kgCO₂e
2024-04-08 10:02:40.203335 root [DEBUG] ['4.47E+2', 'kgCO₂e']
2024-04-08 10:02:40.349810 root [DEBUG] 2.74E+0 kgCO₂e
2024-04-08 10:02:40.352088 root [DEBUG] ['2.74E+0', 'kgCO₂e']
2024-04-08 10:02:40.499100 root [DEBUG] 1.87E+0 kgCO₂e
2024-04-08 10:02:40.501358 root [DEBUG] ['1.87E+0', 'kgCO₂e']
2024-04-08 10:02:40.639343 root [DEBUG] 2.26E+0 kgCO₂e
2024-04-08 10:02:40.640526 root [DEBUG] ['2.26E+0', 'kgCO₂e']
2024-04-08 10:02:40.785843 root [DEBUG] 2.74E+0 kgCO₂e
2024-04-08 10:02:40.787105 root [DEBUG] ['2.74E+0', 'kgCO₂e']
2024-04-08 10:02:40.928210 root [DEBUG] 1.81E+0 kgCO₂e
2024-04-08 10:02:40.928867 root [DEBUG] ['1.81E+0', 'kgCO₂e']
2024-04-08 10:02:41.073676 root [DEBUG] 1.31E-1 kgCO₂e
2024-04-08 10:02:41.074824 root [DEBUG] ['1.31E-1', 'kgCO₂e']
2024-04-08 10:02:41.216329 root [DEBUG] 5.87E-1 kgCO₂e
2024-04-08 10:02:41.218735 root [DEBUG] ['5.87E-1', 'kgCO₂e']
2024-04-08 10:02:41.358833 root [DEBUG] 6.83E-1 kgCO₂e
2024-04-08 10:02:41.360999 root [DEBUG] ['6.83E-1', 'kgCO₂e']
2024-04-08 10:02:41.509272 root [DEBUG] 6.49E-2 kgCO₂e
2024-04-08 10:02:41.510618 root [DEBUG] ['6.49E-2', 'kgCO₂e']
2024-04-08 10:02:41.652143 root [DEBUG] 2.33E-1 kgCO₂e
2024-04-08 10:02:41.654316 root [DEBUG] ['2.33E-1', 'kgCO₂e']
2024-04-08 10:02:41.798123 root [DEBUG] 9.48E-2 kgCO₂e
2024-04-08 10:02:41.799435 root [DEBUG] ['9.48E-2', 'kgCO₂e']
2024-04-08 10:02:41.943249 root [DEBUG] 6.01E-1 kgCO₂e
2024-04-08 10:02:41.945714 root [DEBUG] ['6.01E-1', 'kgCO₂e']
2024-04-08 10:02:42.103685 root [DEBUG] 9.23E-2 kgCO₂e
2024-04-08 10:02:42.105129 root [DEBUG] ['9.23E-2', 'kgCO₂e']
2024-04-08 10:02:42.272174 root [DEBUG] 4.67E-1 kgCO₂e
2024-04-08 10:02:42.274307 root [DEBUG] ['4.67E-1', 'kgCO₂e']
2024-04-08 10:02:42.427243 root [DEBUG] 3.36E+0 kgCO₂e
2024-04-08 10:02:42.428242 root [DEBUG] ['3.36E+0', 'kgCO₂e']
2024-04-08 10:02:42.574515 root [DEBUG] 2.98E+0 kgCO₂e
2024-04-08 10:02:42.575522 root [DEBUG] ['2.98E+0', 'kgCO₂e']
2024-04-08 10:02:42.729366 root [DEBUG] 3.95E+0 kgCO₂e
2024-04-08 10:02:42.730293 root [DEBUG] ['3.95E+0', 'kgCO₂e']
2024-04-08 10:02:42.893766 root [DEBUG] 4.13E-1 kgCO₂e
2024-04-08 10:02:42.895472 root [DEBUG] ['4.13E-1', 'kgCO₂e']
2024-04-08 10:02:43.094184 root [DEBUG] 3.36E+0 kgCO₂e
2024-04-08 10:02:43.096115 root [DEBUG] ['3.36E+0', 'kgCO₂e']
2024-04-08 10:02:43.239990 root [DEBUG] 8.32E-1 kgCO₂e
2024-04-08 10:02:43.241968 root [DEBUG] ['8.32E-1', 'kgCO₂e']
2024-04-08 10:02:43.385095 root [DEBUG] 7.33E-1 kgCO₂e
2024-04-08 10:02:43.386242 root [DEBUG] ['7.33E-1', 'kgCO₂e']
2024-04-08 10:02:43.543481 root [DEBUG] 6.60E-1 kgCO₂e
2024-04-08 10:02:43.544620 root [DEBUG] ['6.60E-1', 'kgCO₂e']
2024-04-08 10:02:43.693430 root [DEBUG] 3.35E+0 kgCO₂e
2024-04-08 10:02:43.695518 root [DEBUG] ['3.35E+0', 'kgCO₂e']
2024-04-08 10:02:43.838564 root [DEBUG] 2.93E+0 kgCO₂e
2024-04-08 10:02:43.840094 root [DEBUG] ['2.93E+0', 'kgCO₂e']
2024-04-08 10:02:43.984647 root [DEBUG] 1.02E+0 kgCO₂e
2024-04-08 10:02:43.985678 root [DEBUG] ['1.02E+0', 'kgCO₂e']
2024-04-08 10:02:44.126382 root [DEBUG] 3.02E+0 kgCO₂e
2024-04-08 10:02:44.128173 root [DEBUG] ['3.02E+0', 'kgCO₂e']
2024-04-08 10:02:44.272437 root [DEBUG] 2.56E+0 kgCO₂e
2024-04-08 10:02:44.274512 root [DEBUG] ['2.56E+0', 'kgCO₂e']
2024-04-08 10:02:44.418272 root [DEBUG] 3.38E+0 kgCO₂e
2024-04-08 10:02:44.419492 root [DEBUG] ['3.38E+0', 'kgCO₂e']
2024-04-08 10:02:44.563548 root [DEBUG] 3.02E+0 kgCO₂e
2024-04-08 10:02:44.565181 root [DEBUG] ['3.02E+0', 'kgCO₂e']
2024-04-08 10:02:44.716767 root [DEBUG] 4.51E-1 kgCO₂e
2024-04-08 10:02:44.718762 root [DEBUG] ['4.51E-1', 'kgCO₂e']
2024-04-08 10:02:44.863915 root [DEBUG] 3.61E+0 kgCO₂e
2024-04-08 10:02:44.865449 root [DEBUG] ['3.61E+0', 'kgCO₂e']
2024-04-08 10:02:45.042677 root [DEBUG] 9.31E+0 kgCO₂e
2024-04-08 10:02:45.044553 root [DEBUG] ['9.31E+0', 'kgCO₂e']
2024-04-08 10:02:45.186731 root [DEBUG] 2.22E+0 kgCO₂e
2024-04-08 10:02:45.189141 root [DEBUG] ['2.22E+0', 'kgCO₂e']
2024-04-08 10:02:45.338284 root [DEBUG] 6.88E-2 kgCO₂e
2024-04-08 10:02:45.340021 root [DEBUG] ['6.88E-2', 'kgCO₂e']
2024-04-08 10:02:45.487237 root [DEBUG] 1.59E+0 kgCO₂e
2024-04-08 10:02:45.488689 root [DEBUG] ['1.59E+0', 'kgCO₂e']
2024-04-08 10:02:45.637316 root [DEBUG] 6.42E-1 kgCO₂e
2024-04-08 10:02:45.640830 root [DEBUG] ['6.42E-1', 'kgCO₂e']
2024-04-08 10:02:45.787643 root [DEBUG] 1.09E-1 kgCO₂e
2024-04-08 10:02:45.788870 root [DEBUG] ['1.09E-1', 'kgCO₂e']
2024-04-08 10:02:45.939085 root [DEBUG] 3.94E+0 kgCO₂e
2024-04-08 10:02:45.941106 root [DEBUG] ['3.94E+0', 'kgCO₂e']
2024-04-08 10:02:46.084982 root [DEBUG] 8.22E-1 kgCO₂e
2024-04-08 10:02:46.086997 root [DEBUG] ['8.22E-1', 'kgCO₂e']
2024-04-08 10:02:46.231323 root [DEBUG] 7.24E-1 kgCO₂e
2024-04-08 10:02:46.233910 root [DEBUG] ['7.24E-1', 'kgCO₂e']
2024-04-08 10:02:46.379911 root [DEBUG] 3.34E+0 kgCO₂e
2024-04-08 10:02:46.382571 root [DEBUG] ['3.34E+0', 'kgCO₂e']
2024-04-08 10:02:46.548983 root [DEBUG] 3.37E+0 kgCO₂e
2024-04-08 10:02:46.550549 root [DEBUG] ['3.37E+0', 'kgCO₂e']
2024-04-08 10:02:46.700846 root [DEBUG] 3.60E+0 kgCO₂e
2024-04-08 10:02:46.702423 root [DEBUG] ['3.60E+0', 'kgCO₂e']
2024-04-08 10:02:46.862772 root [DEBUG] 3.36E+0 kgCO₂e
